DQA1 DQB1 Freq Marker r2 Odds_Ratio Beta
03:0X 03:02 0.154 rs9275490 0.987 7.99 2.08
01:02 06:02 0.1437 rs17843689 0.968 4.02 -1.39
05:01 02:01 0.1314 rs9273369 0.998 3.54 1.26
02:01 02:02 0.1108 rs17211699 0.985 1.62 0.48
05:05 03:01 0.1106 rs9469200 0.975 0.97 -0.03
01:0X 05:01 0.1088 rs10947332 0.994 0.63 -0.46
03:0X 03:01 0.0648 rs1281935 0.882 0.53 -0.63
01:03 06:03 0.0567 rs62406889 0.968 0.52 -0.65
02:01 03:03 0.0366 rs28746898 0.955 0.47 -0.76
04:01 04:02 0.0227 rs12527228 0.956 0.41 -0.89
01:0X 05:03 0.0208 rs1794265 0.990 0.27 -1.31
03:02 03:03 0.0079 rs9405117 0.956 0.24 -1.43
01:02 06:09 0.0071 rs16822632 0.954 0.11 -2.21
01:03 06:01 0.0066 rs117806464 0.986 0.09 -2.41
